ajwain carom
allspice pimento
aubergine eggplant
"baked potato" "jacket potato"
biscuits cookies
canola rapeseed
capsicum "bell pepper"
cardamom cardamon
chickpeas garbanzo
chips fries
coriander cilantro
cos romaine
courgette zucchini
doughnut donut
dumpling gyoza
endive chicory
icing frosting
kumara "sweet potato"
lollies candy
muesli granola
okra "ladies fingers"
omelette omelet
palak saag
porridge oatmeal
pumpkin squash
rocket arugula
rockmelon cantaloupe
silverbeet chard
swede rutabaga
"tomato sauce" ketchup
whisky whiskey
